cell,arm,dock,period,phase,nav,outcome,docked,t_dock_s,capture_lateral_m,capture_vertical_m,capture_offset_m,closing_speed_m_s,contact_offset_m,contact_speed_m_s,meas_err_rms_cm,track_err_rms_cm,vel_err_rms_m_s,vel_amp_ratio,vel_err_corr_vehicle,vel_err_corr_nav,veh_over_dock,blackout_frac,n_demotions,n_stale,n_gaps_gt1s
coreAB_A_sway_p20_ph0.0,A,sway,20.0,0.0,,CLEAN,True,19.791,0.0046,0.0087,0.0098,0.0927,nan,nan,0.4979,1.8977,0.0212,0.0,-0.6723,nan,0.8506,0.0,0,1,0
coreAB_A_sway_p20_ph2.094,A,sway,20.0,2.094,,CLEAN,True,17.125,-0.006,0.0099,0.0116,0.0847,nan,nan,0.1641,2.6077,0.0223,0.0,-0.7374,nan,0.9397,0.0,0,1,0
coreAB_A_sway_p20_ph4.189,A,sway,20.0,4.189,,CLEAN,True,17.881,0.0037,-0.0014,0.0039,0.0897,nan,nan,0.229,1.6367,0.0224,0.0,-0.6624,nan,1.0098,0.0,0,0,0
coreAB_A_sway_p6_ph0.0,A,sway,6.0,0.0,,CLEAN,True,22.512,0.0338,0.0053,0.0342,0.0881,nan,nan,0.3599,4.7856,0.0754,0.0,-0.5208,nan,0.777,0.0939,0,2,1
coreAB_A_sway_p6_ph2.094,A,sway,6.0,2.094,,CONTACT,True,98.656,0.0338,0.0053,0.0342,0.0856,0.1512,0.0414,0.2024,7.5065,0.0742,0.0,-0.269,nan,0.8892,0.088,5,13,4
coreAB_A_sway_p6_ph4.189,A,sway,6.0,4.189,,CLEAN,True,75.767,0.031,0.015,0.0344,0.0866,nan,nan,0.5535,8.4421,0.0733,0.0,-0.2307,nan,0.9633,0.0479,3,11,1
coreAB_A_sway_p8_ph0.0,A,sway,8.0,0.0,,CLEAN,True,19.51,0.0206,0.0129,0.0243,0.0868,nan,nan,0.7397,4.9753,0.055,0.0,-0.6158,nan,1.0675,0.0522,0,1,1
coreAB_A_sway_p8_ph2.094,A,sway,8.0,2.094,,CONTACT,True,87.959,-0.0749,0.1154,0.1376,0.0644,0.1507,0.0634,0.456,5.309,0.0559,0.0,-0.256,nan,0.8309,0.1209,4,9,4
coreAB_A_sway_p8_ph4.189,A,sway,8.0,4.189,,CONTACT,True,80.051,0.0122,0.0311,0.0335,0.0883,0.1502,0.0421,0.3414,6.6611,0.0556,0.0,-0.1688,nan,0.948,0.1294,3,8,5
coreAB_B_sway_p10_ph0.0,B,sway,10.0,0.0,,CLEAN,True,35.772,0.048,0.0254,0.0543,0.0544,nan,nan,0.2753,0.5529,0.0154,1.0401,-0.0478,nan,1.3946,0.0281,0,1,1
coreAB_B_sway_p10_ph2.094,B,sway,10.0,2.094,,CONTACT,False,nan,0.0014,0.0342,0.0342,0.084,0.1503,0.0004,0.1936,0.4198,0.0137,1.0505,0.0031,nan,1.3693,0.0056,1,1,0
coreAB_B_sway_p10_ph4.189,B,sway,10.0,4.189,,CLEAN,True,37.538,-0.0031,0.0361,0.0362,0.0633,nan,nan,0.2103,0.4018,0.0134,1.0585,-0.0179,nan,1.3392,0.0025,0,1,0
coreAB_B_sway_p12_ph0.0,B,sway,12.0,0.0,,CLEAN,True,34.08,0.0024,0.027,0.0271,0.0906,nan,nan,0.2361,0.3222,0.0102,1.0369,-0.0172,nan,1.1975,0.0283,0,2,1
coreAB_B_sway_p12_ph2.094,B,sway,12.0,2.094,,CLEAN,True,30.358,-0.014,-0.0138,0.0197,0.0885,nan,nan,0.2637,0.6588,0.0125,1.1199,0.0246,nan,1.1842,0.0727,0,2,2
coreAB_B_sway_p12_ph4.189,B,sway,12.0,4.189,,CONTACT,True,73.43,-0.0279,0.0308,0.0415,0.0147,0.1518,0.0019,0.515,0.7357,0.0156,1.1079,0.07,nan,1.5159,0.1673,1,2,1
coreAB_B_sway_p16_ph0.0,B,sway,16.0,0.0,,CLEAN,True,24.608,0.0464,0.0125,0.048,0.0116,nan,nan,0.1761,0.246,0.0084,1.0422,-0.0429,nan,1.0987,0.0,0,1,0
coreAB_B_sway_p16_ph2.094,B,sway,16.0,2.094,,CLEAN,True,27.339,0.036,0.0255,0.0441,0.0194,nan,nan,0.221,0.3761,0.0111,1.0759,0.0333,nan,1.0431,0.0367,0,2,1
coreAB_B_sway_p16_ph4.189,B,sway,16.0,4.189,,CLEAN,True,27.8,-0.0257,0.035,0.0434,0.08,nan,nan,0.3033,0.3919,0.0106,1.0519,0.1265,nan,0.9814,0.0336,0,2,1
coreAB_B_sway_p20_ph0.0,B,sway,20.0,0.0,,CLEAN,True,20.466,-0.0205,0.0246,0.032,0.0896,nan,nan,0.2882,0.337,0.0097,1.098,-0.0074,nan,1.0404,0.2347,0,2,2
coreAB_B_sway_p20_ph2.094,B,sway,20.0,2.094,,CLEAN,True,22.898,-0.0245,0.0216,0.0327,0.0536,nan,nan,0.233,0.3286,0.0101,1.144,0.2223,nan,1.0552,0.0116,0,0,0
coreAB_B_sway_p20_ph4.189,B,sway,20.0,4.189,,CLEAN,True,25.067,-0.0009,0.003,0.0031,0.0879,nan,nan,0.3432,0.3063,0.0084,1.081,0.1269,nan,0.9698,0.0325,0,2,1
coreAB_B_sway_p6_ph0.0,B,sway,6.0,0.0,,CONTACT,False,nan,-0.0937,-0.0006,0.0937,0.012,0.1518,0.0015,0.1227,0.8706,0.0297,1.0174,-0.1172,nan,1.8507,0.0071,1,1,0
coreAB_B_sway_p6_ph2.094,B,sway,6.0,2.094,,CONTACT,False,nan,0.0235,0.0228,0.0327,0.0312,0.1505,0.0007,0.3005,0.7415,0.0295,1.0298,-0.1171,nan,1.8281,0.0041,1,1,0
coreAB_B_sway_p6_ph4.189,B,sway,6.0,4.189,,CONTACT,False,nan,-0.024,-0.027,0.0361,0.0784,0.1511,0.0213,0.1739,0.8454,0.0276,1.0129,-0.1231,nan,1.878,0.2207,2,2,2
coreAB_B_sway_p8_ph0.0,B,sway,8.0,0.0,,CONTACT,False,nan,0.0391,0.0605,0.0721,0.0731,0.1517,0.0007,0.1339,0.5532,0.018,1.0388,-0.0997,nan,1.6753,0.0683,2,2,1
coreAB_B_sway_p8_ph2.094,B,sway,8.0,2.094,,CONTACT,False,nan,0.0778,0.0052,0.0779,0.0138,0.1507,0.0038,0.4094,0.5361,0.0188,1.0353,-0.1352,nan,1.6163,0.011,1,1,0
coreAB_B_sway_p8_ph4.189,B,sway,8.0,4.189,,CONTACT,False,nan,0.0044,-0.0074,0.0086,0.0229,0.1505,0.029,0.468,0.4739,0.017,1.0269,-0.0902,nan,1.5648,0.005,1,1,0
core_C_sway_p10_ph0.0,C,sway,10.0,0.0,,CLEAN,True,41.157,-0.0055,0.0242,0.0248,0.0217,nan,nan,0.4427,0.3872,0.0127,1.0278,0.1682,nan,0.9199,0.0,0,1,0
core_C_sway_p10_ph2.094,C,sway,10.0,2.094,,CLEAN,True,41.662,-0.0017,0.0026,0.003,0.0216,nan,nan,0.3133,0.542,0.0164,1.0498,0.1178,nan,0.9168,0.0,0,1,0
core_C_sway_p10_ph4.189,C,sway,10.0,4.189,,CLEAN,True,42.711,0.0051,-0.0004,0.0051,0.0206,nan,nan,0.2271,0.7871,0.0165,1.066,0.0533,nan,0.9274,0.0,0,1,0
core_C_sway_p12_ph0.0,C,sway,12.0,0.0,,CLEAN,True,85.504,-0.015,0.0146,0.021,0.023,nan,nan,0.2724,0.4145,0.0112,1.0367,0.0044,nan,1.2844,0.0531,0,1,1
core_C_sway_p12_ph2.094,C,sway,12.0,2.094,,CLEAN,True,42.353,-0.0009,0.0189,0.0189,0.0218,nan,nan,0.3585,0.6602,0.017,1.1567,0.2614,nan,0.9449,0.0,0,1,0
core_C_sway_p12_ph4.189,C,sway,12.0,4.189,,CLEAN,True,40.307,0.0036,0.0086,0.0093,0.0217,nan,nan,0.4753,0.331,0.0111,1.0397,0.1335,nan,0.8684,0.0,0,1,0
core_C_sway_p16_ph0.0,C,sway,16.0,0.0,,CLEAN,True,41.506,-0.0063,0.0103,0.0121,0.0217,nan,nan,0.3062,0.3039,0.0101,1.1177,0.2595,nan,0.9329,0.0023,0,1,0
core_C_sway_p16_ph2.094,C,sway,16.0,2.094,,CLEAN,True,47.438,0.0023,0.0102,0.0105,0.0225,nan,nan,0.6162,0.3989,0.0088,1.0385,0.0074,nan,0.9706,0.0102,0,1,0
core_C_sway_p16_ph4.189,C,sway,16.0,4.189,,CLEAN,True,45.322,-0.0078,0.0204,0.0218,0.022,nan,nan,0.5179,0.4539,0.0123,1.0955,0.0565,nan,0.9948,0.0083,0,1,0
core_C_sway_p20_ph0.0,C,sway,20.0,0.0,,CLEAN,True,39.426,0.0017,0.0183,0.0183,0.0218,nan,nan,0.4122,0.4108,0.0091,1.0739,0.1537,nan,0.9602,0.0188,0,1,0
core_C_sway_p20_ph2.094,C,sway,20.0,2.094,,CLEAN,True,39.445,0.0038,0.0159,0.0163,0.0226,nan,nan,0.2311,0.4792,0.0102,1.1415,0.3458,nan,0.9185,0.0229,0,0,1
core_C_sway_p20_ph4.189,C,sway,20.0,4.189,,CLEAN,True,60.796,-0.0031,0.0142,0.0146,0.0221,nan,nan,0.3057,0.2999,0.0087,1.0876,-0.064,nan,1.251,0.0044,0,0,0
core_C_sway_p6_ph0.0,C,sway,6.0,0.0,,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,0.1568,0.7912,0.0246,1.0201,0.2292,nan,1.1036,0.0,0,0,0
core_C_sway_p6_ph2.094,C,sway,6.0,2.094,,CLEAN,True,156.156,0.0172,0.0301,0.0347,0.0227,nan,nan,0.1912,0.7058,0.0233,1.0197,0.193,nan,1.1207,0.0038,0,0,1
core_C_sway_p6_ph4.189,C,sway,6.0,4.189,,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,0.2039,0.8157,0.0269,1.0144,0.2389,nan,1.1375,0.0032,0,0,1
core_D_sway_p10_ph0.0,D,sway,10.0,0.0,,CLEAN,True,72.769,0.0341,0.0267,0.0433,0.0602,nan,nan,0.2152,0.8849,0.0143,1.0531,-0.0278,nan,1.3701,0.0892,1,2,2
core_D_sway_p10_ph2.094,D,sway,10.0,2.094,,CLEAN,True,37.291,0.0596,0.0198,0.0629,0.0264,nan,nan,0.4044,9.0393,0.0573,1.0519,-0.5735,nan,1.2282,0.0791,0,3,2
core_D_sway_p10_ph4.189,D,sway,10.0,4.189,,CLEAN,True,33.208,-0.0039,0.0338,0.034,0.0824,nan,nan,0.2425,9.9655,0.0626,1.0449,-0.6081,nan,1.2746,0.0,0,1,0
core_D_sway_p12_ph0.0,D,sway,12.0,0.0,,CLEAN,True,33.885,0.0221,-0.009,0.0239,0.0312,nan,nan,0.4421,0.6991,0.0149,1.1342,0.0183,nan,1.1636,0.108,0,2,3
core_D_sway_p12_ph2.094,D,sway,12.0,2.094,,CLEAN,True,30.685,-0.0255,-0.005,0.026,0.0822,nan,nan,0.2004,0.2765,0.011,1.0356,-0.0398,nan,1.1761,0.0821,0,2,2
core_D_sway_p12_ph4.189,D,sway,12.0,4.189,,CLEAN,True,33.672,0.0503,0.0147,0.0524,0.0334,nan,nan,0.3143,7.7405,0.0409,1.0118,-0.4518,nan,1.236,0.0311,0,1,1
core_D_sway_p16_ph0.0,D,sway,16.0,0.0,,CLEAN,True,26.809,0.0332,-0.0008,0.0332,0.0013,nan,nan,0.2361,0.4162,0.0107,1.1264,0.1312,nan,1.0025,0.0381,0,2,1
core_D_sway_p16_ph2.094,D,sway,16.0,2.094,,CLEAN,True,28.098,0.0433,0.0095,0.0443,0.0073,nan,nan,0.2443,0.3348,0.0099,1.0974,0.0915,nan,1.0278,0.0,0,1,0
core_D_sway_p16_ph4.189,D,sway,16.0,4.189,,CLEAN,True,24.893,-0.0424,0.0038,0.0426,0.044,nan,nan,0.2992,0.399,0.0093,1.0392,0.0789,nan,1.0318,0.1323,0,1,1
core_D_sway_p20_ph0.0,D,sway,20.0,0.0,,CLEAN,True,22.308,-0.0022,0.0264,0.0265,0.0924,nan,nan,0.9461,0.4771,0.0094,1.0698,0.0424,nan,0.9287,0.0351,0,1,1
core_D_sway_p20_ph2.094,D,sway,20.0,2.094,,CLEAN,True,28.725,-0.0194,0.0016,0.0195,0.0872,nan,nan,0.2399,0.5593,0.0098,1.0899,-0.035,nan,1.0262,0.0,0,1,0
core_D_sway_p20_ph4.189,D,sway,20.0,4.189,,CLEAN,True,29.981,-0.0203,0.0021,0.0204,0.0876,nan,nan,0.2744,0.2738,0.0101,1.1212,0.0408,nan,1.0281,0.0,0,1,0
core_D_sway_p6_ph0.0,D,sway,6.0,0.0,,CONTACT,False,nan,-0.0909,0.0269,0.0948,0.0026,0.1505,0.0141,0.1458,5.1065,0.0513,1.0406,-0.233,nan,1.7902,0.0022,1,1,0
core_D_sway_p6_ph2.094,D,sway,6.0,2.094,,CONTACT,False,nan,0.0225,0.0348,0.0414,0.0103,0.1503,0.0029,0.3555,7.5581,0.08,1.0535,-0.4244,nan,1.7832,0.0573,1,1,1
core_D_sway_p6_ph4.189,D,sway,6.0,4.189,,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,0.4419,9.7145,0.0997,1.0701,-0.6367,nan,1.7183,0.0,0,0,0
navtest_A_sway_p8_ph0.0_navmedium,A,sway,8.0,0.0,medium,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,86.9462,29.6986,0.0548,0.0,-0.1283,nan,1.3495,0.013,0,1,0
navtest_A_sway_p8_ph2.094_navmedium,A,sway,8.0,2.094,medium,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,131.1223,49.7102,0.0544,0.0,-0.1541,nan,2.5414,0.1239,0,1,13
navtest_A_sway_p8_ph4.189_navmedium,A,sway,8.0,4.189,medium,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,118.3783,34.6907,0.0552,0.0,-0.3184,nan,1.4404,0.0108,0,1,0
navtest_B_sway_p8_ph0.0_navmedium,B,sway,8.0,0.0,medium,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,120.1816,119.0659,0.0421,1.2163,0.0302,nan,1.6492,0.0077,0,0,0
navtest_B_sway_p8_ph2.094_navmedium,B,sway,8.0,2.094,medium,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,76.1433,86.6,0.0434,1.1818,0.0103,nan,1.8327,0.0091,0,0,0
navtest_B_sway_p8_ph4.189_navmedium,B,sway,8.0,4.189,medium,NO_DOCK,False,nan,nan,nan,nan,nan,nan,nan,157.5155,151.2781,0.0432,1.2164,0.0215,nan,1.651,0.0078,0,0,0
